antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'swarovski'}),frozenset({'runail'}),0.015052103434967195,0.35965589388368646,0.010146458388348331,0.6740890688259109,1.874261148752126,0.004732880672615497,1.9647825367792475,0.4735848701365942
frozenset({'uno'}),frozenset({'runail'}),0.09370493002092263,0.35965589388368646,0.051453411606979624,0.5491003685237372,1.526738134594056,0.01775188123899641,1.4201477699589202,0.380680464347217
frozenset({'uskusi'}),frozenset({'runail'}),0.021146072436978205,0.35965589388368646,0.012898901054256638,0.6099903938520653,1.6960389200498898,0.005293591469806057,1.641867523317937,0.4192565176157163
frozenset({'yoko'}),frozenset({'runail'}),0.04913770338621544,0.35965589388368646,0.026894716528875255,0.5473336089293096,1.5218257735721092,0.009222051894114493,1.4146049248359474,0.3606143156980297
frozenset({'zinger'}),frozenset({'runail'}),0.06118344878019054,0.35965589388368646,0.034908285766519734,0.570551128818061,1.586380589115491,0.01290329780459356,1.4910834539020765,0.39372361204886214
"frozenset({'irisk', 'visage'})",frozenset({'art'}),0.013020780434296858,0.031150338215279613,0.013020780434296858,1.0,32.10238017606782,0.012615178719941616,inf,0.9816312669795012
"frozenset({'irisk', 'art'})",frozenset({'visage'}),0.013020780434296858,0.031150338215279613,0.013020780434296858,1.0,32.10238017606782,0.012615178719941616,inf,0.9816312669795012
"frozenset({'visage', 'runail'})",frozenset({'art'}),0.01255357614414268,0.031150338215279613,0.01255357614414268,1.0,32.10238017606782,0.01216252800144137,inf,0.981166814095575
"frozenset({'runail', 'art'})",frozenset({'visage'}),0.01255357614414268,0.031150338215279613,0.01255357614414268,1.0,32.10238017606782,0.01216252800144137,inf,0.981166814095575
"frozenset({'bluesky', 'grattol'})",frozenset({'runail'}),0.013934875784598509,0.35965589388368646,0.010481626683458936,0.7521865889212828,2.091406262800024,0.0054698664769910225,2.583976804681124,0.5292275433256888
"frozenset({'irisk', 'bluesky'})",frozenset({'runail'}),0.025482947043409372,0.35965589388368646,0.019642893416482156,0.7708250298923874,2.143229244956219,0.010477801318794113,2.7941275865144886,0.5473627713481836
"frozenset({'bluesky', 'runail'})",frozenset({'irisk'}),0.030642507465112028,0.308669686566861,0.019642893416482156,0.6410341398740471,2.0767641520094413,0.010184480241603329,1.9258943265261133,0.5348714762268274
"frozenset({'masura', 'bluesky'})",frozenset({'runail'}),0.01364033394950131,0.35965589388368646,0.010420686993438826,0.7639612807148175,2.124145033368713,0.005514860493958937,2.7128773959438766,0.5365409510779757
"frozenset({'de_lux', 'bpw_style'})",frozenset({'freedecor'}),0.02105466290194804,0.06280850718072681,0.01195433585894493,0.567776169802219,9.039797239066441,0.010631923912880144,2.168301299792805,0.9085063446302616
