antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'1487580005092295511', '1487580005511725929'})",frozenset({'1487580005268456287'}),0.022159286270109848,0.17915633652436708,0.015002081108959626,0.6770110249081257,3.778884063171527,0.01103210456081204,2.5413983967785394,0.7520361968626107
"frozenset({'1487580005511725929', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.020304384806094936,0.2124359832787419,0.015002081108959626,0.7388591800356505,3.4780321517667616,0.010688699157806902,3.0158594770008578,0.7272474049608272
"frozenset({'1487580005092295511', '1487580005595612013'})",frozenset({'1487580005268456287'}),0.04922275104507863,0.17915633652436708,0.03193145008052987,0.6487132352941176,3.6209338049613784,0.02311288232964262,2.3366768860844807,0.7613015008333067
"frozenset({'1487580005595612013', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.04511482292477244,0.2124359832787419,0.03193145008052987,0.7077817890092257,3.33174153495705,0.022347438312059507,2.6951229837832473,0.7329223308753037
"frozenset({'1487580005092295511', '1487580005671109489'})",frozenset({'1487580005268456287'}),0.039541070232903236,0.17915633652436708,0.024828534718326425,0.6279176201372998,3.5048585627441464,0.017744501433146778,2.206080448578423,0.7441044689130342
"frozenset({'1487580005671109489', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.0356141081090863,0.2124359832787419,0.024828534718326425,0.6971544715447154,3.28171555865827,0.01726281664357726,2.600546954542678,0.7209575917210816
"frozenset({'1487580005092295511', '1487580005713052531'})",frozenset({'1487580005268456287'}),0.02198736857344505,0.17915633652436708,0.014088202826688866,0.6407407407407408,3.5764335952113733,0.010149026423259452,2.2848225684373293,0.7365874648060262
"frozenset({'1487580005713052531', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.019725293617329304,0.2124359832787419,0.014088202826688866,0.7142201834862386,3.3620489921855405,0.009897840681629622,2.755841984674708,0.7166994424891114
"frozenset({'1487580005754995573', '1487580005092295511'})",frozenset({'1487580005268456287'}),0.024149912231491703,0.17915633652436708,0.015879766191932536,0.6575496440614462,3.6702561395142883,0.011553156389153479,2.3969712667576193,0.7455442806906426
"frozenset({'1487580005754995573', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.0220235617727429,0.2124359832787419,0.015879766191932536,0.7210353327855382,3.3941299475590814,0.011201169191439785,2.823167624005217,0.7212583628371348
"frozenset({'1487580005092295511', '1487580006317032337'})",frozenset({'1487580005268456287'}),0.06093125101793373,0.17915633652436708,0.03916104164027579,0.6427086427086427,3.587417867417867,0.02824482192805617,2.29740699494801,0.7680459757668173
"frozenset({'1487580006317032337', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.05339401726415607,0.2124359832787419,0.03916104164027579,0.7334350110150821,3.452498958487301,0.027818231081562676,2.954491584661248,0.7504228168103433
"frozenset({'1487580006509970331', '1487580005092295511'})",frozenset({'1487580005268456287'}),0.022729329159051015,0.17915633652436708,0.015725945094916666,0.6918789808917197,3.8618727883934887,0.011653841751124614,2.6640300809441726,0.75829378442876
"frozenset({'1487580006509970331', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.020213901807850303,0.2124359832787419,0.015725945094916666,0.7779767233661595,3.662170181147509,0.011431784988466049,3.5472137366034113,0.7419352740708819
"frozenset({'1487580006551913373', '1487580005092295511'})",frozenset({'1487580005268456287'}),0.02519951501112941,0.17915633652436708,0.017689426156825134,0.7019748653500898,3.9182251600384457,0.013174773365240394,2.7542766298549854,0.7640357354996438
"frozenset({'1487580006551913373', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.022937440055013664,0.2124359832787419,0.017689426156825134,0.7712031558185405,3.6302849635724277,0.012816688524841106,3.4421979006696373,0.7415487608840957
"frozenset({'1487580005092295511', '1487580007256556476'})",frozenset({'1487580005268456287'}),0.02747063826706962,0.17915633652436708,0.019110009229265822,0.6956521739130435,3.882933684672815,0.014188470315351542,2.6970577514199365,0.7634348076887293
"frozenset({'1487580007256556476', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.024611375522539315,0.2124359832787419,0.019110009229265822,0.7764705882352941,3.655080350565987,0.013881667470292822,3.523312706384576,0.7447372105065199
"frozenset({'1487580005092295511', '1487580007281722301'})",frozenset({'1487580005268456287'}),0.03682658028556434,0.17915633652436708,0.025308094609022964,0.6872235872235872,3.8358876976149703,0.018710379398340776,2.6243784056133745,0.7675711724050391
"frozenset({'1487580007281722301', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.03328869505419932,0.2124359832787419,0.025308094609022964,0.7602609404729546,3.578776668335889,0.01823637794311794,3.28508845523527,0.745387898389928
"frozenset({'1487580005092295511', '1487580007306888126'})",frozenset({'1487580005268456287'}),0.02129969778678586,0.17915633652436708,0.015155902205975498,0.7115548003398472,3.971697647674709,0.011339926381418773,2.845752553492843,0.7645021628295783
"frozenset({'1487580005268456287', '1487580007306888126'})",frozenset({'1487580005092295511'}),0.01956242422048897,0.2124359832787419,0.015155902205975498,0.7747456059204441,3.646960340536487,0.011000139381380048,3.496331425362136,0.740280732995659
"frozenset({'1487580007432717250', '1487580005092295511'})",frozenset({'1487580005268456287'}),0.020032935811361046,0.17915633652436708,0.013726270833710346,0.6851851851851851,3.824509913954358,0.010137243443919102,2.607385754569657,0.7536259298151748
"frozenset({'1487580007432717250', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.019327168425052933,0.2124359832787419,0.013726270833710346,0.7102059925093633,3.3431529891877427,0.009620484805340373,2.7176684001883804,0.7146941881280362
"frozenset({'1487580005092295511', '1487580007634043851'})",frozenset({'1487580005268456287'}),0.02077489639696701,0.17915633652436708,0.014097251126513327,0.6785714285714286,3.787593795093795,0.010375296796359445,2.5537358419241913,0.7515944321078796
"frozenset({'1487580007634043851', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.019363361624350785,0.2124359832787419,0.014097251126513327,0.72803738317757,3.4270907025308244,0.00998377636026251,2.895853944645175,0.7221913669673852
"frozenset({'1487580005092295511', '1487580007675986893'})",frozenset({'1487580005268456287'}),0.05298684377205523,0.17915633652436708,0.03454640872979967,0.65198087431694,3.639172841806039,0.025053479915609283,2.3586165325384236,0.7657890256303513
"frozenset({'1487580007675986893', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.04797408566930274,0.2124359832787419,0.03454640872979967,0.7201056205205584,3.3897535125943894,0.024354986668742744,2.813790038177973,0.74051902229674
"frozenset({'1487580005092295511', '1487580007910867929'})",frozenset({'1487580005268456287'}),0.016784596174378833,0.17915633652436708,0.011274181581280877,0.6716981132075472,3.7492288927005912,0.008267114820638258,2.500270928977503,0.7457963788052268
"frozenset({'1487580007910867929', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.014694438914927886,0.2124359832787419,0.011274181581280877,0.7672413793103448,3.6116356912267094,0.008152554001658763,3.3836083681357745,0.733901414900337
"frozenset({'1487580005092295511', '1487580007936033754'})",frozenset({'1487580005268456287'}),0.016115021987368573,0.17915633652436708,0.011509437376716915,0.7142055025266705,3.9864931175880085,0.008622329074450336,2.8721464924363507,0.7614233130622772
"frozenset({'1487580007936033754', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.01501112940878409,0.2124359832787419,0.011509437376716915,0.7667269439421338,3.6092140893856697,0.008320533340637428,3.376146521293455,0.7339487708437799
"frozenset({'1487580005092295511', '1487580008145748965'})",frozenset({'1487580005268456287'}),0.042074594183752874,0.17915633652436708,0.028004487956712933,0.6655913978494623,3.7151429347235796,0.020466557802002325,2.454612884348355,0.7629313804559132
"frozenset({'1487580008145748965', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.038201921858882715,0.2124359832787419,0.028004487956712933,0.7330648981525344,3.450756726042329,0.01988902512348352,2.9503951007960536,0.7384174566392041
"frozenset({'1487580005092295511', '1487580008187692007'})",frozenset({'1487580005268456287'}),0.022204527769232162,0.17915633652436708,0.01510161240702872,0.6801140994295028,3.796204547512616,0.011123530557639509,2.5660514014894305,0.7533057990356291
"frozenset({'1487580008187692007', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.02108253859099875,0.2124359832787419,0.01510161240702872,0.7163090128755365,3.371881739712861,0.010622922591437878,2.7761333721036783,0.7185791668201656
"frozenset({'1487580005092295511', '1487580009286598681'})",frozenset({'1487580005268456287'}),0.06251470348721475,0.17915633652436708,0.04038256211657829,0.6459690259082357,3.6056164043094134,0.029182656860901823,2.318564542499243,0.7708439955231038
"frozenset({'1487580009286598681', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.05608136231202157,0.2124359832787419,0.04038256211657829,0.7200709906421426,3.3895904993520882,0.028468862770212613,2.8134419456128863,0.7468642778936285
